Title,Type,Release Year,Director/Author
The Shawshank Redemption,Movie,1994,Frank Darabont
The Great Gatsby,Book,1925,F. Scott Fitzgerald
Starry Night,Picture,1889,Vincent van Gogh
The Godfather,Movie,1972,Francis Ford Coppola
To Kill a Mockingbird,Book,1960,Harper Lee
Mona Lisa,Picture,1503–1506,Leonardo da Vinci
Inception,Movie,2010,Christopher Nolan
1984,Book,1949,George Orwell
The Persistence of Memory,Picture,1931,Salvador Dalí
Dangal,Movie,2016,Nitesh Tiwari
PK,Movie,2014,Rajkumar Hirani
3 Idiots,Movie,2009,Rajkumar Hirani
Chennai Express,Movie,2013,Rohit Shetty
Queen,Movie,2013,Vikas Bahl
Zindagi Na Milegi Dobara,Movie,2011,Zoya Akhtar
Kabhi Khushi Kabhie Gham,Movie,2001,Karan Johar
Andhadhun,Movie,2018,Sriram Raghavan
Lagaan,Movie,2001,Ashutosh Gowariker
Gully Boy,Movie,2019,Zoya Akhtar
The Dark Knight,Movie,2008,Christopher Nolan
Forrest Gump,Movie,1994,Robert Zemeckis
The Matrix,Movie,1999,The Wachowskis
The Lord of the Rings: The Return of the King,Movie,2003,Peter Jackson
Harry Potter and the Sorcerer's Stone,Movie,2001,Chris Columbus
Harry Potter and the Chamber of Secrets,Movie,2002,Chris Columbus
Harry Potter and the Prisoner of Azkaban,Movie,2004,Alfonso Cuarón
Harry Potter and the Goblet of Fire,Movie,2005,Mike Newell
Harry Potter and the Order of the Phoenix,Movie,2007,David Yates
Harry Potter and the Half-Blood Prince,Movie,2009,David Yates
Harry Potter and the Deathly Hallows – Part 1,Movie,2010,David Yates
Harry Potter and the Deathly Hallows – Part 2,Movie,2011,David Yates
